2025-09-08 01:21:48,910 | INFO | nfl_predictor | _log_importances | Top total feature importances: [('f0', 0.1622348576784134), ('f2', 0.16074781119823456), ('f1', 0.1432274729013443), ('f3', 0.07704271376132965), ('f25', 0.036129921674728394), ('f7', 0.03379567340016365), ('f6', 0.03273404762148857), ('f4', 0.0308062806725502), ('f10', 0.030753565952181816), ('f12', 0.030716408044099808)]
2025-09-08 01:21:48,919 | INFO | nfl_predictor | train_models | Saved models. CV MAE (spread=7.748, total=10.824)
2025-09-08 01:26:37,188 | INFO | nfl_predictor | fetch_data | Fetching schedule for years: [1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]
2025-09-08 01:26:37,200 | INFO | nfl_predictor | fetch_data | Using cached schedule: .\data\schedule_2015_ongoing.csv
2025-09-08 01:26:37,227 | INFO | nfl_predictor | fetch_data | Schedule cached at .\data\schedule_2015_ongoing.csv
2025-09-08 01:26:54,810 | INFO | nfl_predictor | fetch_data | Weekly data not available for 2025 (skipping): HTTP Error 404: Not Found
2025-09-08 01:26:55,188 | INFO | nfl_predictor | fetch_data | Weekly player stats cached at .\data\weekly_2015_ongoing.csv
2025-09-08 01:26:55,862 | INFO | nfl_predictor | fetch_data | Draft picks cached at .\data\draft_2015_ongoing.csv
2025-09-08 01:26:55,862 | INFO | nfl_predictor | fetch_data | Rosters not available (skipping): module 'nfl_data_py' has no attribute 'import_rosters'
2025-09-08 01:26:55,862 | INFO | nfl_predictor | fetch_data | Combine not available (skipping): module 'nfl_data_py' has no attribute 'import_combine'
2025-09-08 01:26:56,617 | INFO | nfl_predictor | engineer_features | Saved preprocessor to .\models\preprocessor.joblib
2025-09-08 01:26:56,618 | INFO | nfl_predictor | train_models | Training models with TimeSeriesSplit CV
2025-09-08 01:28:27,359 | INFO | nfl_predictor | _log_importances | Top spread feature importances: [('f2', 0.28285473585128784), ('f3', 0.2301700860261917), ('f1', 0.08869200199842453), ('f0', 0.04178408905863762), ('f7', 0.034224849194288254), ('f4', 0.03378277271986008), ('f9', 0.03002830222249031), ('f6', 0.026784351095557213), ('f25', 0.023353058844804764), ('f14', 0.02193313278257847)]
